gta06_hhld,age,population,income
5139,63,19,2
5139,64,14,2
5139,65,69,2
5139,66,20,2
5139,69,23,2
5139,70,41,2
5139,71,16,2
5139,73,35,2
5139,75,16,2
5139,76,73,2
5139,77,16,2
5139,78,11,2
5139,80,48,2
5139,82,37,2
5139,84,52,2
5139,85,37,2
5139,87,21,2
5139,89,37,2
5139,90,21,2
5139,94,11,2
5140,3,53,2
5140,7,53,2
5140,27,26,2
5140,39,53,2
5140,43,53,2
5140,70,17,2
5140,78,17,2
5140,82,26,2
5140,87,30,2
5140,92,30,2
5140,96,19,2
5141,29,27,2
5141,33,27,2
5143,0,18,2
5143,22,34,2
5143,25,34,2
5143,29,18,2
5143,35,18,2
5143,59,51,2
5143,67,24,2
5143,69,19,2
5143,72,19,2
5143,75,14,2
5143,89,29,2
5144,21,34,2
5144,43,46,2
5144,47,51,2
5144,55,39,2
5144,59,34,2
5144,62,39,2
5144,63,26,2
5144,69,16,2
5144,72,38,2
5144,83,36,2
5148,2,37,2
5148,8,49,2
5148,18,51,2
5148,19,74,2
5148,25,26,2
5148,26,49,2
5148,31,22,2
5148,32,24,2
5148,50,33,2
5148,51,24,2
5148,53,25,2
5148,55,37,2
5148,56,125,2
5148,58,37,2
5148,59,23,2
5148,61,23,2
5148,62,61,2
5148,63,37,2
5148,64,25,2
5148,65,71,2
5148,66,126,2
5148,67,20,2
5148,68,27,2
5148,69,27,2
5148,70,27,2
5148,72,25,2
5148,79,56,2
5148,80,17,2
5148,83,21,2
5148,85,21,2
5149,12,29,2
5149,14,29,2
5149,44,29,2
5149,58,29,2
5149,61,29,2
5149,64,32,2
5149,70,35,2
5149,72,29,2
5149,73,35,2
5149,74,64,2
5149,75,62,2
5149,77,28,2
5150,12,140,2
5150,16,140,2
5150,22,144,2
5150,23,39,2
5150,24,144,2
5150,25,39,2
5150,36,140,2
5150,37,140,2
5150,44,68,2
5150,49,60,2
5150,50,144,2
5150,52,124,2
5150,55,39,2
5150,59,7,2
5150,69,27,2
5150,70,24,2
5150,71,100,2
5150,74,24,2
5150,77,38,2
5150,86,53,2
5150,87,38,2
5150,90,124,2
5151,4,45,2
5151,22,43,2
5151,54,32,2
5151,55,45,2
5151,56,43,2
5151,57,78,2
5151,60,43,2
5151,64,24,2
5151,65,32,2
5151,69,35,2
5151,70,28,2
5151,71,29,2
5151,72,27,2
5151,75,63,2
5154,4,57,2
5154,10,57,2
5154,30,22,2
5154,39,57,2
5154,47,57,2
5154,60,18,2
5154,63,18,2
5154,65,36,2
5154,67,19,2
5154,70,19,2
5154,81,19,2
5155,1,70,2
5155,8,7,2
5155,9,45,2
5155,13,31,2
5155,14,31,2
5155,26,91,2
5155,28,70,2
5155,31,122,2
5155,32,38,2
5155,40,7,2
5155,51,31,2
5155,53,22,2
5155,54,198,2
5155,57,23,2
5155,61,38,2
5155,68,22,2
5155,71,28,2
5155,72,97,2
5155,74,28,2
5155,80,28,2
5155,81,28,2
5156,40,46,2
5156,74,17,2
5157,12,96,2
5157,15,96,2
5157,19,96,2
5157,26,24,2
5157,28,68,2
5157,29,68,2
5157,42,96,2
5157,49,71,2
5157,50,21,2
5157,54,71,2
5157,58,16,2
5157,60,17,2
5157,61,24,2
5157,62,51,2
5157,64,68,2
5157,65,17,2
5157,69,17,2
5157,70,28,2
5157,71,11,2
5157,80,21,2
5157,87,16,2
5158,7,61,2
5158,12,61,2
5158,42,122,2
5158,62,24,2
5158,63,24,2
5158,69,20,2
5159,19,82,2
5159,25,40,2
5159,28,109,2
5159,32,25,2
5159,34,25,2
5159,37,32,2
5159,38,82,2
5159,46,41,2
5159,47,25,2
5159,52,25,2
5159,55,48,2
5159,59,48,2
